agent,player,matchup_label,mean_reward,ci_lower,ci_upper,n_hands
BeliefEVAgent,0,ev_belief_vs_held_out_1,175.37,171.47,179.19125,5000
HeuristicAgent,1,ev_belief_vs_held_out_1,102.39,97.45975,107.3105,5000
BeliefEVAgent,0,ev_belief_vs_held_out_2,175.19,171.04875,179.19275,5000
HeuristicAgent,1,ev_belief_vs_held_out_2,103.49,99.007,108.286,5000
HeuristicAgent,0,heuristic_vs_held_out_1,97.21,93.86,100.82024999999999,5000
HeuristicAgent,1,heuristic_vs_held_out_1,88.53,85.41925,91.70075,5000
HeuristicAgent,0,heuristic_vs_held_out_2,97.21,93.86,100.82024999999999,5000
HeuristicAgent,1,heuristic_vs_held_out_2,88.53,85.41925,91.70075,5000
StaticEVAgent,0,ev_static_vs_held_out_1,173.59,169.7295,177.55025,5000
HeuristicAgent,1,ev_static_vs_held_out_1,105.27,100.21875,110.28075,5000
StaticEVAgent,0,ev_static_vs_held_out_2,176.38,172.2185,180.44025,5000
HeuristicAgent,1,ev_static_vs_held_out_2,103.18,98.28975000000001,108.14,5000
